model,n_params,test_mse_mean,test_mse_std
poly_deg1,2,0.02022125051072478,0.0
poly_deg2,3,0.001440079656192669,0.0
poly_deg3,4,5.528294984783159e-05,0.0
poly_deg4,5,7.85641956820248e-07,0.0
poly_deg5,6,3.0566012520386185e-07,0.0
poly_deg6,7,5.452889949068246e-07,0.0
poly_deg7,8,1.7428427924419974e-07,0.0
poly_deg8,9,1.7923237009729282e-08,0.0
nn_h3,10,0.12007920344852076,0.08313237884823067
nn_h4,13,0.10112238786168685,0.08877817754111775
nn_h6,19,0.05423914517041567,0.03368354084549144
